BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,OLD MILL BASIN,02-TWO FAMILY DWELLINGS,47,"270,000","753,009","785,000","1,120,000"
BROOKLYN,OLD MILL BASIN,03-THREE FAMILY DWELLINGS,8,"697,630","957,079","975,000","1,100,000"
BROOKLYN,PARK SLOPE,01-ONE FAMILY DWELLINGS,23,"2,525,000","4,566,217","4,350,000","8,000,000"
BROOKLYN,PARK SLOPE,02-TWO FAMILY DWELLINGS,77,"1,300,000","3,592,595","3,455,000","7,125,000"
BROOKLYN,PARK SLOPE,03-THREE FAMILY DWELLINGS,35,"202,150","2,814,076","2,750,000","5,205,000"
BROOKLYN,PARK SLOPE SOUTH,01-ONE FAMILY DWELLINGS,20,"292,305","2,993,890","1,990,000","22,500,000"
BROOKLYN,PARK SLOPE SOUTH,02-TWO FAMILY DWELLINGS,55,"526,827","2,226,731","2,160,000","4,640,000"
BROOKLYN,PARK SLOPE SOUTH,03-THREE FAMILY DWELLINGS,11,"1,100,000","2,196,364","2,018,000","3,950,000"
BROOKLYN,PROSPECT HEIGHTS,01-ONE FAMILY DWELLINGS,7,"1,500,000","2,746,286","2,849,000","3,425,000"
BROOKLYN,PROSPECT HEIGHTS,02-TWO FAMILY DWELLINGS,19,"930,000","2,954,697","2,800,000","4,350,000"
BROOKLYN,PROSPECT HEIGHTS,03-THREE FAMILY DWELLINGS,9,"1,050,000","2,355,556","2,250,000","3,550,000"
BROOKLYN,RED HOOK,01-ONE FAMILY DWELLINGS,4,"2,500,000","2,629,717","2,639,433","2,740,000"
BROOKLYN,RED HOOK,02-TWO FAMILY DWELLINGS,10,"780,000","1,638,900","1,565,000","2,675,000"
BROOKLYN,RED HOOK,03-THREE FAMILY DWELLINGS,2,"1,125,000","1,197,500","1,197,500","1,270,000"
BROOKLYN,SEAGATE,01-ONE FAMILY DWELLINGS,9,"475,000","848,591","687,319","2,240,000"
BROOKLYN,SEAGATE,02-TWO FAMILY DWELLINGS,9,"510,000","746,333","695,000","999,000"
BROOKLYN,SEAGATE,03-THREE FAMILY DWELLINGS,5,"220,000","828,000","850,000","1,350,000"
BROOKLYN,SHEEPSHEAD BAY,01-ONE FAMILY DWELLINGS,87,"203,000","814,821","800,000","1,700,000"
BROOKLYN,SHEEPSHEAD BAY,02-TWO FAMILY DWELLINGS,107,"430,000","948,537","930,000","1,950,000"
BROOKLYN,SHEEPSHEAD BAY,03-THREE FAMILY DWELLINGS,17,"930,000","1,157,779","1,080,000","1,650,000"
BROOKLYN,SPRING CREEK,01-ONE FAMILY DWELLINGS,21,"545,000","548,670","547,180","570,000"
BROOKLYN,SPRING CREEK,02-TWO FAMILY DWELLINGS,3,"641,431","674,898","691,631","691,631"
BROOKLYN,SUNSET PARK,01-ONE FAMILY DWELLINGS,11,"720,000","1,409,981","1,352,000","2,262,500"
BROOKLYN,SUNSET PARK,02-TWO FAMILY DWELLINGS,121,"225,000","1,605,168","1,330,000","14,840,000"
BROOKLYN,SUNSET PARK,03-THREE FAMILY DWELLINGS,44,"200,062","1,248,456","1,326,000","1,790,000"
BROOKLYN,WILLIAMSBURG-CENTRAL,01-ONE FAMILY DWELLINGS,1,"1,540,000","1,540,000","1,540,000","1,540,000"
BROOKLYN,WILLIAMSBURG-CENTRAL,02-TWO FAMILY DWELLINGS,7,"363,231","996,069","990,500","2,000,000"
BROOKLYN,WILLIAMSBURG-CENTRAL,03-THREE FAMILY DWELLINGS,8,"300,000","1,024,998","825,000","1,850,000"
BROOKLYN,WILLIAMSBURG-EAST,01-ONE FAMILY DWELLINGS,15,"850,000","1,799,667","1,600,000","3,350,000"
BROOKLYN,WILLIAMSBURG-EAST,02-TWO FAMILY DWELLINGS,43,"400,000","1,737,791","1,725,000","3,350,000"
BROOKLYN,WILLIAMSBURG-EAST,03-THREE FAMILY DWELLINGS,17,"1,625,000","2,239,706","2,050,000","3,200,000"
BROOKLYN,WILLIAMSBURG-NORTH,01-ONE FAMILY DWELLINGS,5,"1,300,000","2,235,000","2,100,000","3,700,000"
BROOKLYN,WILLIAMSBURG-NORTH,02-TWO FAMILY DWELLINGS,11,"1,500,000","6,568,545","2,550,000","20,500,000"
BROOKLYN,WILLIAMSBURG-NORTH,03-THREE FAMILY DWELLINGS,1,"2,807,900","2,807,900","2,807,900","2,807,900"
BROOKLYN,WILLIAMSBURG-SOUTH,01-ONE FAMILY DWELLINGS,2,"2,650,000","3,575,000","3,575,000","4,500,000"
BROOKLYN,WILLIAMSBURG-SOUTH,02-TWO FAMILY DWELLINGS,8,"450,500","2,168,813","2,047,500","3,800,000"
BROOKLYN,WILLIAMSBURG-SOUTH,03-THREE FAMILY DWELLINGS,5,"917,800","1,598,398","1,600,000","2,500,000"
BROOKLYN,WINDSOR TERRACE,01-ONE FAMILY DWELLINGS,30,"550,000","1,774,317","1,635,000","3,470,000"
BROOKLYN,WINDSOR TERRACE,02-TWO FAMILY DWELLINGS,33,"575,000","1,740,399","1,650,000","3,500,000"
BROOKLYN,WINDSOR TERRACE,03-THREE FAMILY DWELLINGS,6,"1,562,500","2,207,917","2,360,000","2,615,000"
BROOKLYN,WYCKOFF HEIGHTS,01-ONE FAMILY DWELLINGS,7,"725,000","1,041,214","1,100,000","1,325,000"
BROOKLYN,WYCKOFF HEIGHTS,02-TWO FAMILY DWELLINGS,11,"465,000","1,237,364","1,220,000","1,895,000"
BROOKLYN,WYCKOFF HEIGHTS,03-THREE FAMILY DWELLINGS,8,"1,030,000","1,445,537","1,375,000","1,975,000"
